StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q11_1,Q11_2,Q11_3,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q17,Q18_1,Q18_2,Q18_3,Q19,Q20,Q21,Q22,Q23,IDNUM,MID,assignmentId,hitid
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How many accounts have you enabled 2FA for?,What is your age?,What is your gender?,What is your highest level of education?,Are you a:,How tech savvy are you?,How long have you been using Two-Factor Authentication (2FA)?,"When you first enabled 2FA, why did you enable it?",How frequently do you login with your 2FA authenticator?,Which accounts have you enabled 2FA for? - School account,Which accounts have you enabled 2FA for? - Workplace account,Which accounts have you enabled 2FA for? - Personal account,"When you initially enabled 2FA, which two-factor authenticator(s) did you enable? - School account","When you initially enabled 2FA, which two-factor authenticator(s) did you enable? - Workplace account","When you initially enabled 2FA, which two-factor authenticator(s) did you enable? - Personal account","Do you agree or disagree with the following statements: - Using my 2FA authenticator to login is mentally demanding (e.g. thinking, searching, deciding)",Do you agree or disagree with the following statements: - Using my 2FA authenticator to login is not physically demanding,Do you agree or disagree with the following statements: - I feel rushed when having to use my 2FA authenticator to login,Do you agree or disagree with the following statements: - Using my 2FA authenticator to login to my account requires too much effort,Do you agree or disagree with the following statements: - I feel annoyed when having to use my 2FA authenticator,Do you agree or disagree with the following statements: - I have difficulty using my authenticator to log into my account,Why is using your 2FA authenticator to login mentally demanding?,Why is using your 2FA authenticator to login physically demanding?,Why do you feel rushed when using your 2FA authenticator? - Selected Choice,Why do you feel rushed when using your 2FA authenticator? - Other - Text,Why do you feel that having to use your 2FA authenticator to login requires too much effort?,What difficulty did you have with using your 2FA authenticator to login?,Can you recognize the IP address from the device you logged in from memory? - Personal computer,Can you recognize the IP address from the device you logged in from memory? - Workplace computer,Can you recognize the IP address from the device you logged in from memory? - Personal Phone,Have you used the push authenticator?,Did you ever pay attention to the IP address that is displayed?,Have you ever been unable to access your account because of 2FA?,Why were you unable to access your account because of 2FA?,What do you dislike about 2FA?,IDNUM,MID,assignmentId,hitid
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID38""}","{""ImportId"":""QID37""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_17""}","{""ImportId"":""QID30_18""}","{""ImportId"":""QID30_15""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_19""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID47_5_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""IDNUM""}","{""ImportId"":""MID""}","{""ImportId"":""assignmentId""}","{""ImportId"":""hitid""}"
2021-10-17 02:56:47,2021-10-17 03:04:26,IP Address,216.250.250.25,100,458,True,2021-10-17 03:04:26,R_0xnVn0ZxizbZsU9,,,,,45.4817047119140625,-122.4156036376953125,anonymous,EN,1,26,Male,Bachelor's degree,College student,Not at all,Less than 1 year,Mandated,A few times per week,Enabled,Not enabled,Enabled,Phone Call,,Security Key,16,,,15,16,,,,,,,,Always,,Always,Yes,Sometimes,Yes,IT IS VERY USEFULL AND USER FRIENDLY,SOMETIMES IT WILL BE SLOW,48351,,,
2021-10-17 02:59:21,2021-10-17 03:07:21,IP Address,99.70.252.100,100,479,True,2021-10-17 03:07:21,R_3EoGjYzxf8sUIOT,,,,,32.519500732421875,-96.8105010986328125,anonymous,EN,3,39,Male,High school graduate,None of the above,Moderately,More than 2 years,Mandated,A few times per month,,,Enabled,,,"Text message,App Code",16,,,17,14,,,,,,,,Sometimes,Sometimes,Never,No,,No,,What I dislike about 2FA is the extra security step it takes to log in. Sometimes that extra step means having to wait for a few seconds longer like when using Google Authenticator or when waiting for a text with the code.,45789,,,
2021-10-17 03:07:49,2021-10-17 03:10:47,IP Address,24.178.23.151,100,177,True,2021-10-17 03:10:47,R_bmvATEPIhDRB9w5,,,,,43.1204986572265625,-89.35230255126953125,anonymous,EN,4 or more,37,Female,Bachelor's degree,None of the above,Very,More than 2 years,Incentivized,1 or more times a day,,Enabled,Enabled,,Text message,Text message,17,,,15,17,,,,,,,,Never,Never,Never,No,,No,,one more step to do something simple,88521,,,
2021-10-17 03:07:03,2021-10-17 03:11:06,IP Address,104.37.175.49,100,243,True,2021-10-17 03:11:07,R_RzqOVfkeAjCfdjr,,,,,32.776702880859375,-96.80500030517578125,anonymous,EN,1,49,Male,Bachelor's degree,College staff,Somewhat,Less than 1 year,Mandated,A few times per week,Not enabled,Enabled,Enabled,Push,Phone Call,Security Key,16,,,15,15,,,,,,,,Often,Always,Always,Yes,Sometimes,Yes,ITS USEFUL TO EASY,SOMETHIMES ITS LITTLE SLOW,31679,,,
2021-10-17 03:21:04,2021-10-17 03:24:56,IP Address,50.123.70.136,100,231,True,2021-10-17 03:24:56,R_2RambAXvwTjEJgM,,,,,48.05889892578125,-122.15789794921875,anonymous,EN,2,36,Female,High school graduate,None of the above,Moderately,More than 2 years,Voluntary,A few times per week,,Not enabled,Enabled,,,"Text message,App Code",17,,,16,14,,,,,,,,Sometimes,,Sometimes,Yes,Always,No,,Just the wasted 30 seconds or so having to deal with it.,80651,,,
2021-10-17 03:34:24,2021-10-17 03:41:07,IP Address,23.127.73.136,100,402,True,2021-10-17 03:41:07,R_2Y5nqky1PnNaEA5,,,,,30.2422943115234375,-97.7671966552734375,anonymous,EN,2,53,Female,Bachelor's degree,None of the above,Very,Less than 1 year,Voluntary,A few times per week,,Not enabled,Enabled,,,Text message,17,,,17,16,,,,,,,,Sometimes,Never,Never,Yes,Sometimes,No,,"I dislike the extra step. I just want to have the ability to type my password directly into an account and be done. Separately, I sometimes have to go hunting for my phone in order to get into one of my accounts.",53620,,,
2021-10-17 03:56:37,2021-10-17 03:58:15,IP Address,173.73.136.116,100,97,True,2021-10-17 03:58:15,R_UXv0paPmzrTBXfX,,,,,38.906402587890625,-77.12779998779296875,anonymous,EN,4 or more,34,Male,Bachelor's degree,None of the above,Extremely,More than 2 years,Voluntary,1 or more times a day,,Enabled,Enabled,,"Text message,App Code","Push,App Code",17,,,13,13,,,,,,,,Never,Never,Never,Yes,Never,No,,Just that it's a bit more time consuming and feels somewhat tedious.,59937,,,
2021-10-17 03:56:48,2021-10-17 03:59:51,IP Address,68.51.69.16,100,183,True,2021-10-17 03:59:51,R_2w4PNPnU1EX2CRe,,,,,39.868499755859375,-85.96900177001953125,anonymous,EN,2,66,Male,Associate's degree,None of the above,Very,More than 2 years,Voluntary,A few times per week,,,Enabled,,,"Text message,Security Key",17,,,13,13,,,,,,,,Never,Never,Never,No,,No,,"Well you have the extra step which I dislike, but that is outweighed by the extra security I feel.",26742,,,
2021-10-17 03:56:41,2021-10-17 03:59:56,IP Address,73.176.96.68,100,195,True,2021-10-17 03:59:57,R_1q7MYrgF92mbo2x,,,,,39.84429931640625,-88.98650360107421875,anonymous,EN,4 or more,40,Female,Bachelor's degree,None of the above,Moderately,More than 2 years,Voluntary,A few times per week,,,Enabled,,,Text message,17,,,14,16,,,,,,,,Never,,Never,No,,No,,The extra step can feel annoying when you quickly want to check some info in your email or other accounts.,43530,,,
2021-10-17 03:56:12,2021-10-17 04:00:36,IP Address,216.250.250.228,100,263,True,2021-10-17 04:00:36,R_2uxF4HBiZiOCIiT,,,,,45.4817047119140625,-122.4156036376953125,anonymous,EN,1,29,Male,Bachelor's degree,College faculty,Moderately,1 - 2 years,Voluntary,1 or more times a day,Not enabled,Enabled,Not enabled,,"Text message,Push,Phone Call,App Code,Security Key",,16,,,16,16,,,,,,,,Sometimes,Sometimes,Sometimes,Yes,Sometimes,Yes,NETWORK SURVER BUSY,SOMETIMES SURVER IS BUSY,78297,,,
2021-10-17 04:03:58,2021-10-17 04:05:49,IP Address,24.163.25.212,100,110,True,2021-10-17 04:05:49,R_bDEh331QfvM5OJb,,,,,36.0330047607421875,-80.3916015625,anonymous,EN,2,36,Male,Bachelor's degree,None of the above,Moderately,1 - 2 years,Mandated,1 or more times a day,,Enabled,Enabled,,Text message,Text message,16,,,15,14,,,,,,,,Never,Never,Never,No,,No,,it takes extra time,25303,,,
2021-10-17 03:56:18,2021-10-17 04:05:54,IP Address,174.84.103.96,100,575,True,2021-10-17 04:05:54,R_xDh5MA0zokHGHTj,,,,,43.582000732421875,-83.8730010986328125,anonymous,EN,4 or more,50,Male,"Some college, no degree",None of the above,Very,More than 2 years,Voluntary,A few times per month,,Enabled,Enabled,,"Text message,Phone Call,Security Key","Text message,App Code",16,,,14,16,,,"My authenticator is not optimized well. It doesn't push notifications consistently, because it's sandboxed for security. It may be safer to use the an SMS but it's a pain to search the app tray for it and the codes expire very quickly, which usually means I have to input the code twice, into the target app.",,,,,Sometimes,Often,Rarely,No,,No,,"The apps are inconsistent. Microsoft has an app, Google has an app, multiple third parties also have apps. They all offer a slightly different experience and none of them are very well designed, from a user perspective. Security as a service shouldn't be this messy, there should be a common user experience and a lot more consistency.",53493,,,
2021-10-17 03:57:50,2021-10-17 04:08:15,IP Address,70.106.207.206,100,625,True,2021-10-17 04:08:15,R_1FJJz2C8Nf8Musn,,,,,39.0126953125,-77.53420257568359375,anonymous,EN,4 or more,33,Male,Bachelor's degree,College student,Extremely,More than 2 years,Voluntary,1 or more times a day,Enabled,Enabled,Enabled,"App Code,Security Key","App Code,Security Key","Text message,Phone Call,App Code,Security Key",17,,,13,13,,,,,,,,Often,Often,Often,No,,No,,"2FA is for me an extremely welcome and necessary way of electronic authentication, and I can't say that it is something I don't like.",77414,,,
2021-10-17 04:50:54,2021-10-17 04:51:01,IP Address,99.61.109.6,100,6,True,2021-10-17 04:51:01,R_2waGZqGZsZdlJx5,,,,,28.57269287109375,-80.8206024169921875,anonymous,EN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97173,,,
2021-10-17 05:22:59,2021-10-17 05:25:59,IP Address,73.150.139.175,100,180,True,2021-10-17 05:26:00,R_RWwdmGGFNXxceFX,,,,,40.26690673828125,-74.65110015869140625,anonymous,EN,4 or more,36,Male,Master's degree,None of the above,Moderately,More than 2 years,Mandated,1 or more times a day,,Enabled,Enabled,,Text message,Text message,16,,,14,14,,,,,,,,Often,Sometimes,Often,No,,No,,It's a trade off between time and security. IF they can speed it up it's better but i'm fine with it as it.,57778,,,
