StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q11_1,Q11_2,Q11_3,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q17,Q18_1,Q18_2,Q18_3,Q19,Q20,Q21,Q22,Q23,Q24,Q24_3_TEXT,Q25,Q26,Q26_2_TEXT,Q27,IDNUM
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How many accounts have you enabled 2FA for?,What is your age?,What is your gender?,What is your highest level of education?,Are you a:,How tech savvy are you?,How long have you been using Two-Factor Authentication (2FA)?,"When you first enabled 2FA, why did you enable it?",How frequently do you login with your 2FA authenticator?,Which accounts have you enabled 2FA for? - School account,Which accounts have you enabled 2FA for? - Workplace account,Which accounts have you enabled 2FA for? - Personal account,"When you initially enabled 2FA, which two-factor authenticator(s) did you enable? - School account","When you initially enabled 2FA, which two-factor authenticator(s) did you enable? - Workplace account","When you initially enabled 2FA, which two-factor authenticator(s) did you enable? - Personal account","Do you agree or disagree with the following statements: - Using my 2FA authenticator to login is mentally demanding (e.g. thinking, searching, deciding)",Do you agree or disagree with the following statements: - Using my 2FA authenticator to login is physically demanding,Do you agree or disagree with the following statements: - I feel rushed when having to use my 2FA authenticator to login,Do you agree or disagree with the following statements: - Using my 2FA authenticator to login to my account requires too much effort,Do you agree or disagree with the following statements: - I feel annoyed when having to use my 2FA authenticator,Do you agree or disagree with the following statements: - I have difficulty using my authenticator to log into my account,Why is using your 2FA authenticator to login mentally demanding?,Why is using your 2FA authenticator to login physically demanding?,Why do you feel rushed when using your 2FA authenticator? - Selected Choice,Why do you feel rushed when using your 2FA authenticator? - Other - Text,Why do you feel that having to use your 2FA authenticator to login requires too much effort?,What difficulty did you have with using your 2FA authenticator to login?,Can you recognize the IP address from the device you logged in from memory? - Personal computer,Can you recognize the IP address from the device you logged in from memory? - Workplace computer,Can you recognize the IP address from the device you logged in from memory? - Personal Phone,Have you used the push authenticator?,"Did you ever pay attention to the IP address, time, or location that is displayed?",Have you ever been unable to access your account because of 2FA?,Why were you unable to access your account because of 2FA?,Have you ever canceled an authentication request?,Why did you cancel the authentication request? - Selected Choice,Why did you cancel the authentication request? - Other - Text,Have you ever not responded to an authentication request?,Why did you not respond to the authentication request? - Selected Choice,Why did you not respond to the authentication request? - Other - Text,What do you dislike about 2FA?,IDNUM
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID38""}","{""ImportId"":""QID37""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_17""}","{""ImportId"":""QID30_18""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID53""}","{""ImportId"":""QID53_5_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID57_3_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID59_2_TEXT""}","{""ImportId"":""QID33_TEXT""}","{""ImportId"":""IDNUM""}"
2021-11-07 02:10:22,2021-11-07 02:15:14,IP Address,71.198.210.113,100,292,True,2021-11-07 02:15:15,R_3NVSHEX9IoBsvgg,,,,,37.993499755859375,-121.70149993896484375,anonymous,EN,4 or more,24,Male,"Some college, no degree",College student,Extremely,More than 2 years,Voluntary,1 or more times a day,Enabled,Enabled,Enabled,Push,Text message,Text message,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,,,,,,,Sometimes,Sometimes,Sometimes,No,,Yes,"Duo mobile app error, wouldn't receive authentication request for a short period of time.",Yes,Mistake,,Yes,Did not have 2FA authenticator,,The 10 seconds it take to unlock my phone and get a code or accept a push notification.,32268
2021-11-07 07:27:50,2021-11-07 07:32:01,IP Address,104.220.133.120,100,250,True,2021-11-07 07:32:02,R_3Mo2YWNi0WzAVUF,,,,,38.74249267578125,-121.1947021484375,anonymous,EN,3,21,Male,Associate's degree,College student,Moderately,1 - 2 years,Mandated,A few times per week,Enabled,Enabled,Enabled,Push,Push,"Text message,Push,App Code",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,,,,,,,Rarely,Rarely,Rarely,Yes,Rarely,No,,No,,,No,,,The fact that I don't have a choice in using it (for Sac State),13743
2021-11-07 11:57:55,2021-11-07 12:02:29,IP Address,23.119.241.131,100,274,True,2021-11-07 12:02:30,R_3qk72JcWGdLCTNQ,,,,,38.6829071044921875,-121.796905517578125,anonymous,EN,1,24,Female,Associate's degree,College student,Moderately,1 - 2 years,Voluntary,A few times per week,Enabled,,,Push,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,,"It would be nice to just log in without needing my phone with me ",Having to input the code before the countdown timer expires,,It is just an extra step i dont care for,,Always,,,Yes,Rarely,Yes,"It would not recognize my device ",Yes,Mistake,,No,,,"Just that its an extra step that I find unnecessary ",70842
2021-11-07 12:15:10,2021-11-07 13:21:40,IP Address,73.220.25.221,100,3990,True,2021-11-07 13:21:40,R_11aAdWSinlYXvWm,,,,,38.610595703125,-121.278900146484375,anonymous,EN,3,34,Male,Associate's degree,College student,Extremely,More than 2 years,Voluntary,1 or more times a day,Enabled,Enabled,Enabled,"Push,Phone Call",Text message,"Text message,Phone Call",Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,,,Having to input the code before the countdown timer expires,,,,Never,Never,Never,Yes,Always,No,,Yes,Mistake,,Yes,Did not have 2FA authenticator,,"Shorten time limits make it hard to click accept in time. Also, the apps vary where the accept and deny buttons are making it easy to falsely hit deny or accept when not intended.",28393
2021-11-07 13:27:01,2021-11-07 13:32:58,IP Address,65.78.189.82,100,357,True,2021-11-07 13:32:58,R_XMQ7BD62HqAUcSJ,,,,,38.6645050048828125,-121.48699951171875,anonymous,EN,4 or more,29,Male,"Some college, no degree",College student,Moderately,More than 2 years,Voluntary,A few times per week,Enabled,,Enabled,Push,,"Text message,App Code",Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,,,Having to input the code before the countdown timer expires,,,,Often,,Often,Yes,Always,No,,No,,,No,,,"Usually everything is available at the click of a button now, but 2FA increases the access time by over 100%. I think 2FA is necessary for security but inconvenient; it's a personally beneficial chore like needing to brush one's teeth.",22001
2021-11-07 13:29:42,2021-11-07 13:33:32,IP Address,73.151.133.58,100,230,True,2021-11-07 13:33:33,R_240r4B8jRaxmGh0,,,,,37.7353057861328125,-121.44029998779296875,anonymous,EN,4 or more,22,Female,Associate's degree,College student,Very,More than 2 years,Mandated,1 or more times a day,Enabled,Enabled,Enabled,Push,Security Key,Text message,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,"I have to unlock my phone, find my app or wait for the text, copy the code exactly as is and type it. Patience and too much brain power.","Because I have to do it every time, multiple times even for the same login despite using the same device.",Having to input the code before the countdown timer expires,,I shouldn't have to do it for the same login multiple times even under the same hour.,,Always,Always,Always,Yes,Always,Yes,Because new phone,No,,,Yes,Other,someone tried resetting my password,can it like remember my ip or something for 24 hours,78950
2021-11-07 13:30:20,2021-11-07 13:34:44,IP Address,71.197.107.224,100,264,True,2021-11-07 13:34:45,R_2rJjCXaA1NPNG6S,,,,,38.5959930419921875,-121.21269989013671875,anonymous,EN,4 or more,29,Male,"Some college, no degree",College student,Extremely,More than 2 years,Incentivized,1 or more times a day,Enabled,Enabled,Enabled,"Text message,Push","Text message,Push,Phone Call,App Code,Security Key","Text message,Push,App Code",Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,,,Having to input the code before the countdown timer expires,,,,Always,Always,Sometimes,Yes,Often,Yes,"connection was slow and I accidentally sent another push after the first one, so I kept entering the wrong code",Yes,Mistake,,No,,,"sometimes it's just tedious when I'm trying to do something and have logged on previously before. ",79189
2021-11-07 13:25:53,2021-11-07 13:34:52,IP Address,104.220.99.123,100,538,True,2021-11-07 13:34:52,R_2fqFlPn0CUzxOQz,,,,,38.912994384765625,-121.0845947265625,anonymous,EN,4 or more,21,Male,"Some college, no degree",College student,Very,More than 2 years,Mandated,A few times per week,Enabled,,Enabled,Push,,Security Key,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,"It would be easier if there was less work involved, such as a face scan from my iphone possibly.",I feel like the time it takes to do it could be shorter.,Having to input the code before the countdown timer expires,,"I just feel like the whole process can be shorter, so the fact that it takes a decent amount of time and we have to do it frequently is slightly annoying but not the worst in the world.",,Often,,Often,Yes,Never,No,,No,,,Yes,Other,took to much effort to go find my phone so decided to wait for later,the extra step to sign in that it takes,34211
